Expected_Speed,Variant,SPZ,Antena,First_time,Last_time,Seen,Pass_Number,RSSI_AVG
20,C,Front1,1,1737985690191,1737985691312,28,1,-67.41
20,C,Front3,1,1737985690280,1737985691390,28,1,-65.70
20,C,Front2,1,1737985690469,1737985691458,25,1,-65.76
20,C,Side3,1,1737985691723,1737985691851,4,1,-73.25
20,C,Side2,1,1737985691728,1737985691755,2,1,-71.00
20,C,Back1,1,1737985692919,1737985692919,1,1,-73.00
20,C,Front1,1,1737985774516,1737985775816,34,2,-65.25
20,C,Front3,1,1737985774675,1737985775951,33,2,-64.18
20,C,Front2,1,1737985774854,1737985775857,27,2,-63.59
20,C,Side1,1,1737985776120,1737985776272,5,1,-70.90
20,C,Side2,1,1737985776123,1737985776306,6,2,-68.17
20,C,Side3,1,1737985776125,1737985776378,8,2,-70.38
20,C,Back1,1,1737985777176,1737985777620,6,2,-72.33
20,C,Front1,1,1737985843122,1737985844367,33,3,-64.73
20,C,Front3,1,1737985843346,1737985844543,29,3,-62.67
20,C,Front2,1,1737985843423,1737985844396,26,3,-63.19
20,C,Side3,1,1737985844668,1737985844927,8,3,-69.88
20,C,Side1,1,1737985844669,1737985844824,5,2,-69.60
20,C,Side2,1,1737985844674,1737985844859,6,3,-66.83
20,C,Back1,1,1737985845581,1737985846102,8,3,-71.88
20,C,Back2,1,1737985845795,1737985845795,1,1,-76.00
20,C,Front1,1,1737985905300,1737985906594,34,4,-64.35
20,C,Front3,1,1737985905469,1737985906777,32,4,-63.38
20,C,Front2,1,1737985905696,1737985906681,25,4,-62.56
20,C,Side1,1,1737985906881,1737985907074,5,3,-70.10
20,C,Side2,1,1737985906882,1737985907086,6,4,-66.58
20,C,Side3,1,1737985906885,1737985907162,8,4,-69.38
20,C,Back1,1,1737985907761,1737985908313,8,4,-70.69
30,C,Front1,1,1737985972300,1737985973240,22,5,-64.82
30,C,Front3,1,1737985972465,1737985973353,20,5,-63.62
30,C,Front2,1,1737985972537,1737985973234,16,5,-62.53
30,C,Side1,1,1737985973436,1737985973556,4,4,-70.88
30,C,Side3,1,1737985973464,1737985973631,6,5,-70.67
30,C,Side2,1,1737985973479,1737985973553,3,5,-67.17
30,C,Back1,1,1737985974191,1737985974537,5,5,-73.10
30,C,Front1,1,1737986034827,1737986035566,18,6,-66.44
30,C,Front3,1,1737986034853,1737986035640,22,6,-66.14
30,C,Front2,1,1737986034924,1737986035655,20,6,-66.33
30,C,Side3,1,1737986035887,1737986035964,3,6,-74.67
30,C,Front1,1,1737986093119,1737986093929,22,7,-65.30
30,C,Front3,1,1737986093207,1737986094051,21,7,-64.74
30,C,Front2,1,1737986093358,1737986094029,17,7,-63.97
30,C,Side2,1,1737986094181,1737986094300,4,6,-68.75
30,C,Side1,1,1737986094183,1737986094268,3,5,-70.83
30,C,Side3,1,1737986094195,1737986094393,6,7,-71.83
30,C,Back1,1,1737986094908,1737986095063,4,6,-73.12
30,C,Front1,1,1737986151046,1737986151931,24,8,-66.08
30,C,Front3,1,1737986151133,1737986151976,21,8,-63.74
30,C,Front2,1,1737986151293,1737986151974,19,8,-64.63
30,C,Side2,1,1737986152114,1737986152240,4,7,-69.75
30,C,Side1,1,1737986152118,1737986152189,3,6,-71.17
30,C,Side3,1,1737986152207,1737986152310,4,8,-71.12
30,C,Back1,1,1737986152972,1737986152972,1,7,-74.50
50,C,Front1,1,1737986203853,1737986204345,14,9,-66.29
50,C,Front3,1,1737986203939,1737986204348,12,9,-63.71
50,C,Front2,1,1737986204007,1737986204351,10,9,-63.65
50,C,Side2,1,1737986204480,1737986204535,2,8,-69.25
50,C,Side1,1,1737986204501,1737986204501,1,7,-73.00
50,C,Side3,1,1737986204515,1737986204531,2,9,-71.25
50,C,Front1,1,1737986255763,1737986256245,14,10,-65.82
50,C,Front3,1,1737986255832,1737986256248,12,10,-63.08
50,C,Front2,1,1737986255913,1737986256250,10,10,-63.40
50,C,Side2,1,1737986256363,1737986256440,3,9,-68.83
50,C,Side1,1,1737986256366,1737986256396,2,8,-70.25
50,C,Side3,1,1737986256437,1737986256468,2,10,-70.25
50,C,Back1,1,1737986256921,1737986256921,1,8,-72.00
50,C,Front1,1,1737986317418,1737986317919,14,11,-66.46
50,C,Front3,1,1737986317489,1737986317979,13,11,-65.00
50,C,Front2,1,1737986317565,1737986317965,11,11,-64.95
50,C,Side2,1,1737986318064,1737986318109,2,10,-68.75
50,C,Side3,1,1737986318076,1737986318180,3,11,-73.50
50,C,Side1,1,1737986318095,1737986318095,1,9,-73.00
50,C,Back1,1,1737986318544,1737986318587,2,9,-75.25
50,C,Front1,1,1737986368683,1737986369207,13,12,-66.19
50,C,Front3,1,1737986368756,1737986369205,11,12,-63.86
50,C,Front2,1,1737986368824,1737986369234,10,12,-65.05
50,C,Side2,1,1737986369330,1737986369409,3,11,-68.33
50,C,Side1,1,1737986369334,1737986369362,2,10,-70.50
50,C,Side3,1,1737986369336,1737986369440,4,12,-71.00
50,C,Back1,1,1737986369932,1737986369967,2,10,-75.75
60,C,Front1,1,1737986420614,1737986421024,11,13,-65.86
60,C,Front3,1,1737986420709,1737986421050,10,13,-63.35
60,C,Front2,1,1737986420772,1737986421053,8,13,-63.62
60,C,Side1,1,1737986421183,1737986421183,1,11,-70.50
60,C,Side3,1,1737986421184,1737986421217,2,13,-69.00
60,C,Side2,1,1737986421189,1737986421214,2,12,-68.00
60,C,Front1,1,1737986484732,1737986485116,11,14,-64.50
60,C,Front3,1,1737986484821,1737986485120,9,14,-62.89
60,C,Front2,1,1737986484889,1737986485118,7,14,-62.00
60,C,Side2,1,1737986485295,1737986485330,2,13,-67.00
60,C,Side1,1,1737986485298,1737986485298,1,12,-69.50
60,C,Side3,1,1737986485300,1737986485326,2,14,-68.75
60,C,Back1,1,1737986485610,1737986485633,2,11,-72.75
60,C,Front1,1,1737986541445,1737986541816,10,15,-68.20
60,C,Front3,1,1737986541509,1737986541822,8,15,-64.62
60,C,Front2,1,1737986541584,1737986541819,6,15,-64.50
60,C,Side3,1,1737986541936,1737986541969,2,15,-71.25
60,C,Side2,1,1737986541939,1737986541966,2,14,-69.50
60,C,Back1,1,1737986542395,1737986542395,1,12,-76.00
60,C,Front1,1,1737986598344,1737986598759,12,16,-65.12
60,C,Front3,1,1737986598404,1737986598830,11,16,-63.86
60,C,Front2,1,1737986598495,1737986598760,8,16,-62.12
60,C,Side2,1,1737986598888,1737986598933,2,15,-67.50
60,C,Side3,1,1737986598892,1737986598931,2,16,-68.50
60,C,Side1,1,1737986598914,1737986598914,1,13,-71.00
60,C,Back1,1,1737986599239,1737986599280,2,13,-73.25
90,C,Front1,1,1737986663407,1737986663687,7,17,-65.86
90,C,Front2,1,1737986663475,1737986663713,6,17,-65.75
90,C,Front3,1,1737986663481,1737986663717,6,17,-63.67
90,C,Side3,1,1737986663811,1737986663843,2,17,-71.25
90,C,Side2,1,1737986663812,1737986663812,1,16,-68.50
50,C,Front1,1,1737987022346,1737987022868,14,18,-64.43
50,C,Front3,1,1737987022443,1737987022946,14,18,-63.39
50,C,Front2,1,1737987022515,1737987022919,11,18,-62.32
50,C,Side1,1,1737987023060,1737987023091,2,14,-67.25
50,C,Side3,1,1737987023061,1737987023138,3,18,-68.17
50,C,Side2,1,1737987023063,1737987023090,2,17,-63.75
50,C,Back1,1,1737987023445,1737987023611,4,14,-71.88
50,C,Back2,1,1737987023588,1737987023588,1,2,-75.00
50,C,Front2,1,1737987107722,1737987107834,4,19,-72.50
50,C,Front1,1,1737987107808,1737987107808,1,19,-75.50
50,C,Front2,1,1737987226817,1737987227001,5,20,-71.60
50,C,Front3,1,1737987226819,1737987227036,6,19,-69.08
50,C,Front1,1,1737987226821,1737987226927,4,20,-68.75
20,B,Front3,1,1737987468877,1737987469228,8,20,-73.56
20,B,Back1,1,1737987470312,1737987471328,14,15,-69.86
20,B,Back2,1,1737987470454,1737987470883,7,3,-70.71
20,B,Back3,1,1737987470602,1737987471029,3,1,-75.17
20,B,Front3,1,1737987553609,1737987554314,18,21,-69.56
20,B,Front2,1,1737987553684,1737987554107,11,21,-73.55
20,B,Front1,1,1737987553861,1737987554257,6,21,-73.08
20,B,Side1,1,1737987554443,1737987554510,3,15,-70.00
20,B,Side3,1,1737987554509,1737987554871,5,19,-70.70
20,B,Side2,1,1737987554513,1737987554536,2,18,-68.25
20,B,Back1,1,1737987555215,1737987556163,15,16,-69.43
20,B,Back2,1,1737987555475,1737987555775,6,4,-71.17
20,B,Back3,1,1737987555610,1737987555798,2,2,-72.50
20,B,Front3,1,1737987610607,1737987611320,17,22,-69.12
20,B,Front2,1,1737987610630,1737987611086,9,22,-73.39
20,B,Front1,1,1737987610763,1737987610951,6,22,-72.50
20,B,Side1,1,1737987611512,1737987611512,1,16,-70.00
20,B,Side3,1,1737987611514,1737987611620,4,20,-69.25
20,B,Side2,1,1737987611517,1737987611548,2,19,-68.00
20,B,Back1,1,1737987612228,1737987613581,18,17,-70.92
20,B,Back2,1,1737987612507,1737987613088,6,5,-72.67
30,B,Front3,1,1737987717128,1737987717625,10,23,-70.35
30,B,Front1,1,1737987717286,1737987717323,2,23,-75.25
30,B,Front2,1,1737987717375,1737987717375,1,23,-73.00
30,B,Side3,1,1737987717807,1737987717834,2,21,-70.50
30,B,Back1,1,1737987718373,1737987719338,11,18,-71.77
30,B,Front3,1,1737987761096,1737987761358,8,24,-68.81
30,B,Front1,1,1737987761240,1737987761240,1,24,-73.00
30,B,Front2,1,1737987761268,1737987761362,4,24,-73.00
30,B,Side1,1,1737987761642,1737987761642,1,17,-71.00
30,B,Side3,1,1737987761719,1737987761719,1,22,-71.00
30,B,Back1,1,1737987762168,1737987762906,11,19,-72.14
30,B,Front3,1,1737987808050,1737987808295,8,25,-71.06
30,B,Front2,1,1737987808342,1737987808380,2,25,-74.75
30,B,Back1,1,1737987809255,1737987809583,6,20,-73.08
50,B,Front3,1,1737987857382,1737987857698,8,26,-69.88
50,B,Front2,1,1737987857526,1737987857599,3,26,-72.50
50,B,Front1,1,1737987857528,1737987857528,1,25,-74.00
50,B,Back1,1,1737987858131,1737987858725,7,21,-72.07
50,B,Front3,1,1737987915453,1737987915615,5,27,-72.70
50,B,Back1,1,1737987916248,1737987916558,4,22,-75.25
50,B,Front3,1,1737987963698,1737987963797,4,28,-71.62
50,B,Front2,1,1737987963866,1737987963866,1,27,-76.50
50,B,Back1,1,1737987964403,1737987964819,7,23,-72.93
20,A,Front1,1,1737988038390,1737988038973,16,26,-62.59
20,A,Front2,1,1737988038480,1737988038901,12,28,-63.42
20,A,Front3,1,1737988038631,1737988039090,13,29,-55.73
20,A,Side1,1,1737988039160,1737988039525,10,18,-56.30
20,A,Side3,1,1737988039164,1737988039604,12,23,-59.46
20,A,Side2,1,1737988039166,1737988039568,11,20,-54.73
20,A,Back1,1,1737988039574,1737988040401,13,24,-62.38
20,A,Back3,1,1737988039771,1737988040280,10,3,-66.25
20,A,Back2,1,1737988039773,1737988040283,10,6,-61.75
20,A,Front1,1,1737988083093,1737988083631,15,27,-63.87
20,A,Front2,1,1737988083181,1737988083557,11,29,-64.41
20,A,Front3,1,1737988083254,1737988083734,14,30,-58.29
20,A,Side2,1,1737988083778,1737988084160,11,21,-55.64
20,A,Side1,1,1737988083780,1737988084112,10,19,-56.75
20,A,Side3,1,1737988083854,1737988084199,10,24,-57.50
20,A,Back1,1,1737988084173,1737988084903,15,25,-63.10
20,A,Back3,1,1737988084378,1737988084768,10,4,-66.30
20,A,Back2,1,1737988084379,1737988084875,11,7,-62.23
20,A,Front1,1,1737988125891,1737988126374,14,28,-64.43
20,A,Front2,1,1737988126031,1737988126336,9,30,-63.44
20,A,Front3,1,1737988126102,1737988126520,12,31,-57.71
20,A,Side1,1,1737988126563,1737988126946,11,20,-59.23
20,A,Side2,1,1737988126566,1737988126950,11,22,-56.86
20,A,Side3,1,1737988126638,1737988126986,10,25,-58.05
20,A,Back1,1,1737988126968,1737988127727,14,26,-63.75
20,A,Back2,1,1737988127171,1737988127583,10,8,-62.95
20,A,Back3,1,1737988127252,1737988127580,8,5,-66.75
30,A,Front1,1,1737988163686,1737988164063,10,29,-64.60
30,A,Front2,1,1737988163706,1737988163957,7,31,-63.36
30,A,Front3,1,1737988163769,1737988164124,10,32,-59.05
30,A,Side1,1,1737988164167,1737988164477,9,21,-60.78
30,A,Side2,1,1737988164169,1737988164511,10,23,-59.30
30,A,Side3,1,1737988164241,1737988164565,9,26,-60.89
30,A,Back1,1,1737988164635,1737988165068,10,27,-62.45
30,A,Back2,1,1737988164646,1737988165043,10,9,-64.60
30,A,Back3,1,1737988164720,1737988165058,8,6,-68.50
30,A,Front1,1,1737988203701,1737988204129,12,30,-64.50
30,A,Front2,1,1737988203791,1737988204055,8,32,-63.81
30,A,Front3,1,1737988203866,1737988204203,10,33,-57.70
30,A,Side2,1,1737988204245,1737988204553,9,24,-57.06
30,A,Side1,1,1737988204248,1737988204551,9,22,-59.33
30,A,Side3,1,1737988204319,1737988204589,8,27,-58.50
30,A,Back1,1,1737988204557,1737988205144,13,28,-64.12
30,A,Back3,1,1737988204746,1737988205014,8,7,-66.06
30,A,Back2,1,1737988204748,1737988205112,9,10,-63.06
30,A,Front1,1,1737988243002,1737988243418,12,31,-64.67
30,A,Front2,1,1737988243098,1737988243342,8,33,-63.56
30,A,Front3,1,1737988243156,1737988243491,10,34,-57.80
30,A,Side1,1,1737988243534,1737988243797,8,23,-58.56
30,A,Side2,1,1737988243535,1737988243847,8,25,-57.44
30,A,Side3,1,1737988243605,1737988243848,7,28,-57.79
30,A,Back1,1,1737988243863,1737988244423,12,29,-63.62
30,A,Back2,1,1737988244016,1737988244439,10,11,-64.50
30,A,Back3,1,1737988244021,1737988244282,8,8,-66.12
50,A,Front1,1,1737988293123,1737988293383,8,32,-64.12
50,A,Front3,1,1737988293195,1737988293381,6,35,-56.67
50,A,Front2,1,1737988293200,1737988293303,4,34,-61.88
50,A,Side1,1,1737988293506,1737988293616,4,24,-56.88
50,A,Side2,1,1737988293509,1737988293662,5,26,-56.00
50,A,Side3,1,1737988293511,1737988293658,5,29,-57.80
50,A,Back1,1,1737988293738,1737988293969,6,30,-61.17
50,A,Back2,1,1737988293739,1737988293972,6,12,-64.00
50,A,Back3,1,1737988293814,1737988293967,4,9,-66.38
50,A,Front1,1,1737988336438,1737988336698,8,33,-64.75
50,A,Front3,1,1737988336514,1737988336744,7,36,-59.14
50,A,Front2,1,1737988336517,1737988336623,4,35,-62.62
50,A,Side1,1,1737988336811,1737988336925,4,25,-57.00
50,A,Side3,1,1737988336813,1737988336999,6,30,-60.50
50,A,Side2,1,1737988336815,1737988336965,5,27,-56.20
